"Gemeinde_Nr","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_fr","Text_fr"
734,23.8,23.8,76.2,"Bühl (BE)","Les résultats ne sont pas encore connus dans cette commune."
735,22.5,22.5,77.5,"Epsach (BE)","Les résultats ne sont pas encore connus dans cette commune."
736,22,22,78,"Hagneck (BE)","Les résultats ne sont pas encore connus dans cette commune."
737,21.2,21.2,78.8,"Hermrigen (BE)","Les résultats ne sont pas encore connus dans cette commune."
738,20.5,20.5,79.5,"Jens (BE)","Les résultats ne sont pas encore connus dans cette commune."
739,30.1,30.1,69.9,"Ipsach (BE)","Les résultats ne sont pas encore connus dans cette commune."
740,34,34,66,"Gléresse (BE)","Les résultats ne sont pas encore connus dans cette commune."
741,28.7,28.7,71.3,"Merzligen (BE)","Les résultats ne sont pas encore connus dans cette commune."
742,21.2,21.2,78.8,"Mörigen (BE)","Les résultats ne sont pas encore connus dans cette commune."
743,46.8,46.8,53.2,"Nidau (BE)","Les résultats ne sont pas encore connus dans cette commune."
744,29.6,29.6,70.4,"Orpund (BE)","Les résultats ne sont pas encore connus dans cette commune."
745,26.6,26.6,73.4,"Port (BE)","Les résultats ne sont pas encore connus dans cette commune."
746,25,25,75,"Safnern (BE)","Les résultats ne sont pas encore connus dans cette commune."
747,19,19,81,"Scheuren (BE)","Les résultats ne sont pas encore connus dans cette commune."
748,23.2,23.2,76.8,"Schwadernau (BE)","Les résultats ne sont pas encore connus dans cette commune."
749,19,19,81,"Studen (BE)","Les résultats ne sont pas encore connus dans cette commune."
750,34.5,34.5,65.5,"Sutz-Lattrigen (BE)","Les résultats ne sont pas encore connus dans cette commune."
751,23.9,23.9,76.1,"Täuffelen (BE)","Les résultats ne sont pas encore connus dans cette commune."
754,20.5,20.5,79.5,"Walperswil (BE)","Les résultats ne sont pas encore connus dans cette commune."
755,24.6,24.6,75.4,"Worben (BE)","Les résultats ne sont pas encore connus dans cette commune."
756,31.3,31.3,68.7,"Douanne-Daucher (BE)","Les résultats ne sont pas encore connus dans cette commune."
761,14.2,14.2,85.8,"Därstetten (BE)","Les résultats ne sont pas encore connus dans cette commune."
762,13.8,13.8,86.2,"Diemtigen (BE)","Les résultats ne sont pas encore connus dans cette commune."
763,16.1,16.1,83.9,"Erlenbach im Simmental (BE)","Les résultats ne sont pas encore connus dans cette commune."
766,11.9,11.9,88.1,"Oberwil im Simmental (BE)","Les résultats ne sont pas encore connus dans cette commune."
767,21.4,21.4,78.6,"Reutigen (BE)","Les résultats ne sont pas encore connus dans cette commune."
768,28.6,28.6,71.4,"Spiez (BE)","Les résultats ne sont pas encore connus dans cette commune."
769,19.5,19.5,80.5,"Wimmis (BE)","Les résultats ne sont pas encore connus dans cette commune."
770,15.3,15.3,84.7,"Stocken-Höfen (BE)","Les résultats ne sont pas encore connus dans cette commune."
782,24.4,24.4,75.6,"Guttannen (BE)","Les résultats ne sont pas encore connus dans cette commune."
783,17.2,17.2,82.8,"Hasliberg (BE)","Les résultats ne sont pas encore connus dans cette commune."
784,15.5,15.5,84.5,"Innertkirchen (BE)","Les résultats ne sont pas encore connus dans cette commune."
785,23.6,23.6,76.4,"Meiringen (BE)","Les résultats ne sont pas encore connus dans cette commune."
786,17.8,17.8,82.2,"Schattenhalb (BE)","Les résultats ne sont pas encore connus dans cette commune."
791,14.5,14.5,85.5,"Boltigen (BE)","Les résultats ne sont pas encore connus dans cette commune."
792,13.1,13.1,86.9,"Lenk (BE)","Les résultats ne sont pas encore connus dans cette commune."
793,12,12,88,"Saint-Etienne (BE)","Les résultats ne sont pas encore connus dans cette commune."
794,19.6,19.6,80.4,"Zweisimmen (BE)","Les résultats ne sont pas encore connus dans cette commune."
841,12.8,12.8,87.2,"Gsteig (BE)","Les résultats ne sont pas encore connus dans cette commune."
842,11.2,11.2,88.8,"Lauenen (BE)","Les résultats ne sont pas encore connus dans cette commune."
843,17.7,17.7,82.3,"Gessenay (BE)","Les résultats ne sont pas encore connus dans cette commune."
852,21.9,21.9,78.1,"Guggisberg (BE)","Les résultats ne sont pas encore connus dans cette commune."
853,22.2,22.2,77.8,"Rüschegg (BE)","Les résultats ne sont pas encore connus dans cette commune."
855,27.5,27.5,72.5,"Schwarzenburg (BE)","Les résultats ne sont pas encore connus dans cette commune."
861,26,26,74,"Belp (BE)","Les résultats ne sont pas encore connus dans cette commune."
863,27,27,73,"Burgistein (BE)","Les résultats ne sont pas encore connus dans cette commune."
866,29.1,29.1,70.9,"Gerzensee (BE)","Les résultats ne sont pas encore connus dans cette commune."
867,21.1,21.1,78.9,"Gurzelen (BE)","Les résultats ne sont pas encore connus dans cette commune."
868,26.8,26.8,73.2,"Jaberg (BE)","Les résultats ne sont pas encore connus dans cette commune."
869,34.7,34.7,65.3,"Kaufdorf (BE)","Les résultats ne sont pas encore connus dans cette commune."
870,36,36,64,"Kehrsatz (BE)","Les résultats ne sont pas encore connus dans cette commune."
872,23.7,23.7,76.3,"Kirchdorf (BE)","Les résultats ne sont pas encore connus dans cette commune."
879,20.2,20.2,79.8,"Riggisberg (BE)","Les résultats ne sont pas encore connus dans cette commune."
880,23.7,23.7,76.3,"Rüeggisberg (BE)","Les résultats ne sont pas encore connus dans cette commune."
883,24,24,76,"Seftigen (BE)","Les résultats ne sont pas encore connus dans cette commune."
884,22.8,22.8,77.2,"Toffen (BE)","Les résultats ne sont pas encore connus dans cette commune."
885,25.7,25.7,74.3,"Uttigen (BE)","Les résultats ne sont pas encore connus dans cette commune."
886,24.8,24.8,75.2,"Wattenwil (BE)","Les résultats ne sont pas encore connus dans cette commune."
888,25.9,25.9,74.1,"Wald (BE)","Les résultats ne sont pas encore connus dans cette commune."
889,33.7,33.7,66.3,"Thurnen (BE)","Les résultats ne sont pas encore connus dans cette commune."
901,16,16,84,"Eggiwil (BE)","Les résultats ne sont pas encore connus dans cette commune."
902,32.8,32.8,67.2,"Langnau im Emmental (BE)","Les résultats ne sont pas encore connus dans cette commune."
903,19.2,19.2,80.8,"Lauperswil (BE)","Les résultats ne sont pas encore connus dans cette commune."
904,12.7,12.7,87.3,"Röthenbach im Emmental (BE)","Les résultats ne sont pas encore connus dans cette commune."
905,17.4,17.4,82.6,"Rüderswil (BE)","Les résultats ne sont pas encore connus dans cette commune."
906,8.1,8.1,91.9,"Schangnau (BE)","Les résultats ne sont pas encore connus dans cette commune."
907,21.9,21.9,78.1,"Signau (BE)","Les résultats ne sont pas encore connus dans cette commune."
908,26.4,26.4,73.6,"Trub (BE)","Les résultats ne sont pas encore connus dans cette commune."
909,33.9,33.9,66.1,"Trubschachen (BE)","Les résultats ne sont pas encore connus dans cette commune."
921,22.5,22.5,77.5,"Amsoldingen (BE)","Les résultats ne sont pas encore connus dans cette commune."
922,20.9,20.9,79.1,"Blumenstein (BE)","Les résultats ne sont pas encore connus dans cette commune."
923,13.1,13.1,86.9,"Buchholterberg (BE)","Les résultats ne sont pas encore connus dans cette commune."
924,16.5,16.5,83.5,"Eriz (BE)","Les résultats ne sont pas encore connus dans cette commune."
925,22.5,22.5,77.5,"Fahrni (BE)","Les résultats ne sont pas encore connus dans cette commune."
927,38.1,38.1,61.9,"Heiligenschwendi (BE)","Les résultats ne sont pas encore connus dans cette commune."
928,22.1,22.1,77.9,"Heimberg (BE)","Les résultats ne sont pas encore connus dans cette commune."
929,30.7,30.7,69.3,"Hilterfingen (BE)","Les résultats ne sont pas encore connus dans cette commune."
