"Gemeinde_Nr","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_it","Text_it"
432,40.1,40.1,59.9,"Cormoret BE","I risultati di questo comune non sono ancora noti."
433,40.8,40.8,59.2,"Cortébert BE","I risultati di questo comune non sono ancora noti."
434,49.2,49.2,50.8,"Courtelary BE","I risultati di questo comune non sono ancora noti."
435,43.5,43.5,56.5,"La Ferrière BE","I risultati di questo comune non sono ancora noti."
437,38.2,38.2,61.8,"Mont-Tramelan BE","I risultati di questo comune non sono ancora noti."
438,37.2,37.2,62.8,"Orvin BE","I risultati di questo comune non sono ancora noti."
441,46.6,46.6,53.4,"Renan BE","I risultati di questo comune non sono ancora noti."
442,32.7,32.7,67.3,"Romont BE","I risultati di questo comune non sono ancora noti."
443,47.5,47.5,52.5,"St. Immer BE","I risultati di questo comune non sono ancora noti."
444,39,39,61,"Sonceboz-Sombeval BE","I risultati di questo comune non sono ancora noti."
445,42.6,42.6,57.4,"Sonvilier BE","I risultati di questo comune non sono ancora noti."
446,43.1,43.1,56.9,"Tramelan BE","I risultati di questo comune non sono ancora noti."
448,44.5,44.5,55.5,"Villeret BE","I risultati di questo comune non sono ancora noti."
449,41.7,41.7,58.3,"Sauge BE","I risultati di questo comune non sono ancora noti."
450,36.7,36.7,63.3,"Péry-La Heutte BE","I risultati di questo comune non sono ancora noti."
491,23.8,23.8,76.2,"Brüttelen BE","I risultati di questo comune non sono ancora noti."
492,40.7,40.7,59.3,"Erlach BE","I risultati di questo comune non sono ancora noti."
493,16.8,16.8,83.2,"Finsterhennen BE","I risultati di questo comune non sono ancora noti."
494,32,32,68,"Gals BE","I risultati di questo comune non sono ancora noti."
495,30,30,70,"Gampelen BE","I risultati di questo comune non sono ancora noti."
496,33.1,33.1,66.9,"Ins BE","I risultati di questo comune non sono ancora noti."
497,17.2,17.2,82.8,"Lüscherz BE","I risultati di questo comune non sono ancora noti."
498,22.1,22.1,77.9,"Müntschemier BE","I risultati di questo comune non sono ancora noti."
499,19.6,19.6,80.4,"Siselen BE","I risultati di questo comune non sono ancora noti."
500,17.5,17.5,82.5,"Treiten BE","I risultati di questo comune non sono ancora noti."
501,33.3,33.3,66.7,"Tschugg BE","I risultati di questo comune non sono ancora noti."
502,28.4,28.4,71.6,"Vinelz BE","I risultati di questo comune non sono ancora noti."
533,28.9,28.9,71.1,"Bätterkinden BE","I risultati di questo comune non sono ancora noti."
538,28.8,28.8,71.2,"Fraubrunnen BE","I risultati di questo comune non sono ancora noti."
540,27.5,27.5,72.5,"Jegenstorf BE","I risultati di questo comune non sono ancora noti."
541,32.3,32.3,67.7,"Iffwil BE","I risultati di questo comune non sono ancora noti."
543,28.6,28.6,71.4,"Mattstetten BE","I risultati di questo comune non sono ancora noti."
544,28.8,28.8,71.2,"Moosseedorf BE","I risultati di questo comune non sono ancora noti."
546,32.2,32.2,67.8,"Münchenbuchsee BE","I risultati di questo comune non sono ancora noti."
551,28.7,28.7,71.3,"Urtenen-Schönbühl BE","I risultati di questo comune non sono ancora noti."
552,27.4,27.4,72.6,"Utzenstorf BE","I risultati di questo comune non sono ancora noti."
553,22.1,22.1,77.9,"Wiggiswil BE","I risultati di questo comune non sono ancora noti."
554,21.1,21.1,78.9,"Wiler bei Utzenstorf BE","I risultati di questo comune non sono ancora noti."
556,65,65,35,"Zielebach BE","I risultati di questo comune non sono ancora noti."
557,25.1,25.1,74.9,"Zuzwil BE BE","I risultati di questo comune non sono ancora noti."
561,11.5,11.5,88.5,"Adelboden BE","I risultati di questo comune non sono ancora noti."
562,18.8,18.8,81.2,"Aeschi bei Spiez BE","I risultati di questo comune non sono ancora noti."
563,17.2,17.2,82.8,"Frutigen BE","I risultati di questo comune non sono ancora noti."
564,15.1,15.1,84.9,"Kandergrund BE","I risultati di questo comune non sono ancora noti."
565,22.7,22.7,77.3,"Kandersteg BE","I risultati di questo comune non sono ancora noti."
566,23.1,23.1,76.9,"Krattigen BE","I risultati di questo comune non sono ancora noti."
567,15.5,15.5,84.5,"Reichenbach im Kandertal BE","I risultati di questo comune non sono ancora noti."
571,23.2,23.2,76.8,"Beatenberg BE","I risultati di questo comune non sono ancora noti."
572,22.5,22.5,77.5,"Bönigen BE","I risultati di questo comune non sono ancora noti."
573,22.8,22.8,77.2,"Brienz BE","I risultati di questo comune non sono ancora noti."
574,26.2,26.2,73.8,"Brienzwiler BE","I risultati di questo comune non sono ancora noti."
575,18.3,18.3,81.7,"Därligen BE","I risultati di questo comune non sono ancora noti."
576,12.2,12.2,87.8,"Grindelwald BE","I risultati di questo comune non sono ancora noti."
577,29.2,29.2,70.8,"Gsteigwiler BE","I risultati di questo comune non sono ancora noti."
578,14.4,14.4,85.6,"Gündlischwand BE","I risultati di questo comune non sono ancora noti."
579,11.8,11.8,88.2,"Habkern BE","I risultati di questo comune non sono ancora noti."
580,20.3,20.3,79.7,"Hofstetten bei Brienz BE","I risultati di questo comune non sono ancora noti."
581,27.8,27.8,72.2,"Interlaken BE","I risultati di questo comune non sono ancora noti."
582,16.7,16.7,83.3,"Iseltwald BE","I risultati di questo comune non sono ancora noti."
584,16.7,16.7,83.3,"Lauterbrunnen BE","I risultati di questo comune non sono ancora noti."
585,19.1,19.1,80.9,"Leissigen BE","I risultati di questo comune non sono ancora noti."
586,11.8,11.8,88.2,"Lütschental BE","I risultati di questo comune non sono ancora noti."
587,24.7,24.7,75.3,"Matten bei Interlaken BE","I risultati di questo comune non sono ancora noti."
588,26.7,26.7,73.3,"Niederried bei Interlaken BE","I risultati di questo comune non sono ancora noti."
589,27.7,27.7,72.3,"Oberried am Brienzersee BE","I risultati di questo comune non sono ancora noti."
590,24,24,76,"Ringgenberg BE","I risultati di questo comune non sono ancora noti."
591,25,25,75,"Saxeten BE","I risultati di questo comune non sono ancora noti."
592,21.1,21.1,78.9,"Schwanden bei Brienz BE","I risultati di questo comune non sono ancora noti."
593,25.5,25.5,74.5,"Unterseen BE","I risultati di questo comune non sono ancora noti."
594,22.9,22.9,77.1,"Wilderswil BE","I risultati di questo comune non sono ancora noti."
602,16.5,16.5,83.5,"Arni BE","I risultati di questo comune non sono ancora noti."
603,24.3,24.3,75.7,"Biglen BE","I risultati di questo comune non sono ancora noti."
605,19.7,19.7,80.3,"Bowil BE","I risultati di questo comune non sono ancora noti."
606,19,19,81,"Brenzikofen BE","I risultati di questo comune non sono ancora noti."
607,12.7,12.7,87.3,"Freimettigen BE","I risultati di questo comune non sono ancora noti."
608,24.3,24.3,75.7,"Grosshöchstetten BE","I risultati di questo comune non sono ancora noti."
609,15.2,15.2,84.8,"Häutligen BE","I risultati di questo comune non sono ancora noti."
610,16.1,16.1,83.9,"Herbligen BE","I risultati di questo comune non sono ancora noti."
611,22.2,22.2,77.8,"Kiesen BE","I risultati di questo comune non sono ancora noti."
612,26.2,26.2,73.8,"Konolfingen BE","I risultati di questo comune non sono ancora noti."
613,14.8,14.8,85.2,"Landiswil BE","I risultati di questo comune non sono ancora noti."
614,14.7,14.7,85.3,"Linden BE","I risultati di questo comune non sono ancora noti."
615,21,21,79,"Mirchel BE","I risultati di questo comune non sono ancora noti."
616,33,33,67,"Münsingen BE","I risultati di questo comune non sono ancora noti."
617,28.4,28.4,71.6,"Niederhünigen BE","I risultati di questo comune non sono ancora noti."
619,22.1,22.1,77.9,"Oberdiessbach BE","I risultati di questo comune non sono ancora noti."
620,17,17,83,"Oberthal BE","I risultati di questo comune non sono ancora noti."
622,32.7,32.7,67.3,"Oppligen BE","I risultati di questo comune non sono ancora noti."
623,34,34,66,"Rubigen BE","I risultati di questo comune non sono ancora noti."
626,22.6,22.6,77.4,"Walkringen BE","I risultati di questo comune non sono ancora noti."
627,30,30,70,"Worb BE","I risultati di questo comune non sono ancora noti."
628,24.4,24.4,75.6,"Zäziwil BE","I risultati di questo comune non sono ancora noti."
629,9.4,9.4,90.6,"Oberhünigen BE","I risultati di questo comune non sono ancora noti."
630,20.5,20.5,79.5,"Allmendingen BE","I risultati di questo comune non sono ancora noti."
632,31.7,31.7,68.3,"Wichtrach BE","I risultati di questo comune non sono ancora noti."
662,18.1,18.1,81.9,"Ferenbalm BE","I risultati di questo comune non sono ancora noti."
663,29.6,29.6,70.4,"Frauenkappelen BE","I risultati di questo comune non sono ancora noti."
665,24.1,24.1,75.9,"Gurbrü BE","I risultati di questo comune non sono ancora noti."
666,18.7,18.7,81.3,"Kriechenwil BE","I risultati di questo comune non sono ancora noti."
667,31.5,31.5,68.5,"Laupen BE","I risultati di questo comune non sono ancora noti."
668,22.1,22.1,77.9,"Mühleberg BE","I risultati di questo comune non sono ancora noti."
669,30.6,30.6,69.4,"Münchenwiler BE","I risultati di questo comune non sono ancora noti."
670,25.4,25.4,74.6,"Neuenegg BE","I risultati di questo comune non sono ancora noti."
671,22.5,22.5,77.5,"Wileroltigen BE","I risultati di questo comune non sono ancora noti."
681,40.7,40.7,59.3,"Belprahon BE","I risultati di questo comune non sono ancora noti."
683,25.7,25.7,74.3,"Champoz BE","I risultati di questo comune non sono ancora noti."
687,20,20,80,"Corcelles BE","I risultati di questo comune non sono ancora noti."
690,32.9,32.9,67.1,"Court BE","I risultati di questo comune non sono ancora noti."
691,47.8,47.8,52.2,"Crémines BE","I risultati di questo comune non sono ancora noti."
692,35.2,35.2,64.8,"Eschert BE","I risultati di questo comune non sono ancora noti."
694,36.7,36.7,63.3,"Grandval BE","I risultati di questo comune non sono ancora noti."
696,44.8,44.8,55.2,"Loveresse BE","I risultati di questo comune non sono ancora noti."
700,51.8,51.8,48.2,"Moutier BE","I risultati di questo comune non sono ancora noti."
701,33.1,33.1,66.9,"Perrefitte BE","I risultati di questo comune non sono ancora noti."
703,35.3,35.3,64.7,"Reconvilier BE","I risultati di questo comune non sono ancora noti."
704,37.7,37.7,62.3,"Roches BE BE","I risultati di questo comune non sono ancora noti."
706,29.8,29.8,70.2,"Saicourt BE","I risultati di questo comune non sono ancora noti."
707,31.1,31.1,68.9,"Saules BE","I risultati di questo comune non sono ancora noti."
708,60,60,40,"Schelten BE","I risultati di questo comune non sono ancora noti."
709,35,35,65,"Seehof BE","I risultati di questo comune non sono ancora noti."
711,50.6,50.6,49.4,"Sorvilier BE","I risultati di questo comune non sono ancora noti."
713,45.1,45.1,54.9,"Tavannes BE","I risultati di questo comune non sono ancora noti."
715,46.7,46.7,53.3,"Rebévelier BE","I risultati di questo comune non sono ancora noti."
716,39,39,61,"Petit-Val BE","I risultati di questo comune non sono ancora noti."
717,31.9,31.9,68.1,"Valbirse BE","I risultati di questo comune non sono ancora noti."
723,50.3,50.3,49.7,"Neuenstadt BE","I risultati di questo comune non sono ancora noti."
724,38.8,38.8,61.2,"Nods BE","I risultati di questo comune non sono ancora noti."
726,49.1,49.1,50.9,"Plateau de Diesse BE","I risultati di questo comune non sono ancora noti."
731,26.7,26.7,73.3,"Aegerten BE","I risultati di questo comune non sono ancora noti."
732,27.5,27.5,72.5,"Bellmund BE","I risultati di questo comune non sono ancora noti."
733,32.8,32.8,67.2,"Brügg BE","I risultati di questo comune non sono ancora noti."
734,23.8,23.8,76.2,"Bühl BE","I risultati di questo comune non sono ancora noti."
735,22.5,22.5,77.5,"Epsach BE","I risultati di questo comune non sono ancora noti."
736,22,22,78,"Hagneck BE","I risultati di questo comune non sono ancora noti."
737,21.2,21.2,78.8,"Hermrigen BE","I risultati di questo comune non sono ancora noti."
738,20.5,20.5,79.5,"Jens BE","I risultati di questo comune non sono ancora noti."
739,30.1,30.1,69.9,"Ipsach BE","I risultati di questo comune non sono ancora noti."
740,34,34,66,"Ligerz BE","I risultati di questo comune non sono ancora noti."
741,28.7,28.7,71.3,"Merzligen BE","I risultati di questo comune non sono ancora noti."
742,21.2,21.2,78.8,"Mörigen BE","I risultati di questo comune non sono ancora noti."
743,46.8,46.8,53.2,"Nidau BE","I risultati di questo comune non sono ancora noti."
744,29.6,29.6,70.4,"Orpund BE","I risultati di questo comune non sono ancora noti."
745,26.6,26.6,73.4,"Port BE","I risultati di questo comune non sono ancora noti."
746,25,25,75,"Safnern BE","I risultati di questo comune non sono ancora noti."
747,19,19,81,"Scheuren BE","I risultati di questo comune non sono ancora noti."
748,23.2,23.2,76.8,"Schwadernau BE","I risultati di questo comune non sono ancora noti."
749,19,19,81,"Studen BE BE","I risultati di questo comune non sono ancora noti."
750,34.5,34.5,65.5,"Sutz-Lattrigen BE","I risultati di questo comune non sono ancora noti."
751,23.9,23.9,76.1,"Täuffelen BE","I risultati di questo comune non sono ancora noti."
754,20.5,20.5,79.5,"Walperswil BE","I risultati di questo comune non sono ancora noti."
755,24.6,24.6,75.4,"Worben BE","I risultati di questo comune non sono ancora noti."
756,31.3,31.3,68.7,"Twann-Tüscherz BE","I risultati di questo comune non sono ancora noti."
761,14.2,14.2,85.8,"Därstetten BE","I risultati di questo comune non sono ancora noti."
762,13.8,13.8,86.2,"Diemtigen BE","I risultati di questo comune non sono ancora noti."
763,16.1,16.1,83.9,"Erlenbach im Simmental BE","I risultati di questo comune non sono ancora noti."
766,11.9,11.9,88.1,"Oberwil im Simmental BE","I risultati di questo comune non sono ancora noti."
767,21.4,21.4,78.6,"Reutigen BE","I risultati di questo comune non sono ancora noti."
768,28.6,28.6,71.4,"Spiez BE","I risultati di questo comune non sono ancora noti."
769,19.5,19.5,80.5,"Wimmis BE","I risultati di questo comune non sono ancora noti."
770,15.3,15.3,84.7,"Stocken-Höfen BE","I risultati di questo comune non sono ancora noti."
782,24.4,24.4,75.6,"Guttannen BE","I risultati di questo comune non sono ancora noti."
783,17.2,17.2,82.8,"Hasliberg BE","I risultati di questo comune non sono ancora noti."
784,15.5,15.5,84.5,"Innertkirchen BE","I risultati di questo comune non sono ancora noti."
785,23.6,23.6,76.4,"Meiringen BE","I risultati di questo comune non sono ancora noti."
786,17.8,17.8,82.2,"Schattenhalb BE","I risultati di questo comune non sono ancora noti."
791,14.5,14.5,85.5,"Boltigen BE","I risultati di questo comune non sono ancora noti."
792,13.1,13.1,86.9,"Lenk BE","I risultati di questo comune non sono ancora noti."
793,12,12,88,"St. Stephan BE","I risultati di questo comune non sono ancora noti."
794,19.6,19.6,80.4,"Zweisimmen BE","I risultati di questo comune non sono ancora noti."
841,12.8,12.8,87.2,"Gsteig BE","I risultati di questo comune non sono ancora noti."
842,11.2,11.2,88.8,"Lauenen BE","I risultati di questo comune non sono ancora noti."
843,17.7,17.7,82.3,"Saanen BE","I risultati di questo comune non sono ancora noti."
852,21.9,21.9,78.1,"Guggisberg BE","I risultati di questo comune non sono ancora noti."
853,22.2,22.2,77.8,"Rüschegg BE","I risultati di questo comune non sono ancora noti."
855,27.5,27.5,72.5,"Schwarzenburg BE","I risultati di questo comune non sono ancora noti."
861,26,26,74,"Belp BE","I risultati di questo comune non sono ancora noti."
863,27,27,73,"Burgistein BE","I risultati di questo comune non sono ancora noti."
866,29.1,29.1,70.9,"Gerzensee BE","I risultati di questo comune non sono ancora noti."
867,21.1,21.1,78.9,"Gurzelen BE","I risultati di questo comune non sono ancora noti."
868,26.8,26.8,73.2,"Jaberg BE","I risultati di questo comune non sono ancora noti."
869,34.7,34.7,65.3,"Kaufdorf BE","I risultati di questo comune non sono ancora noti."
870,36,36,64,"Kehrsatz BE","I risultati di questo comune non sono ancora noti."
872,23.7,23.7,76.3,"Kirchdorf BE","I risultati di questo comune non sono ancora noti."
879,20.2,20.2,79.8,"Riggisberg BE","I risultati di questo comune non sono ancora noti."
880,23.7,23.7,76.3,"Rüeggisberg BE","I risultati di questo comune non sono ancora noti."
883,24,24,76,"Seftigen BE","I risultati di questo comune non sono ancora noti."
884,22.8,22.8,77.2,"Toffen BE","I risultati di questo comune non sono ancora noti."
885,25.7,25.7,74.3,"Uttigen BE","I risultati di questo comune non sono ancora noti."
886,24.8,24.8,75.2,"Wattenwil BE","I risultati di questo comune non sono ancora noti."
888,25.9,25.9,74.1,"Wald BE BE","I risultati di questo comune non sono ancora noti."
889,33.7,33.7,66.3,"Thurnen BE","I risultati di questo comune non sono ancora noti."
901,16,16,84,"Eggiwil BE","I risultati di questo comune non sono ancora noti."
902,32.8,32.8,67.2,"Langnau im Emmental BE","I risultati di questo comune non sono ancora noti."
903,19.2,19.2,80.8,"Lauperswil BE","I risultati di questo comune non sono ancora noti."
904,12.7,12.7,87.3,"Röthenbach im Emmental BE","I risultati di questo comune non sono ancora noti."
905,17.4,17.4,82.6,"Rüderswil BE","I risultati di questo comune non sono ancora noti."
906,8.1,8.1,91.9,"Schangnau BE","I risultati di questo comune non sono ancora noti."
907,21.9,21.9,78.1,"Signau BE","I risultati di questo comune non sono ancora noti."
908,26.4,26.4,73.6,"Trub BE","I risultati di questo comune non sono ancora noti."
909,33.9,33.9,66.1,"Trubschachen BE","I risultati di questo comune non sono ancora noti."
921,22.5,22.5,77.5,"Amsoldingen BE","I risultati di questo comune non sono ancora noti."
922,20.9,20.9,79.1,"Blumenstein BE","I risultati di questo comune non sono ancora noti."
923,13.1,13.1,86.9,"Buchholterberg BE","I risultati di questo comune non sono ancora noti."
924,16.5,16.5,83.5,"Eriz BE","I risultati di questo comune non sono ancora noti."
925,22.5,22.5,77.5,"Fahrni BE","I risultati di questo comune non sono ancora noti."
927,38.1,38.1,61.9,"Heiligenschwendi BE","I risultati di questo comune non sono ancora noti."
928,22.1,22.1,77.9,"Heimberg BE","I risultati di questo comune non sono ancora noti."
929,30.7,30.7,69.3,"Hilterfingen BE","I risultati di questo comune non sono ancora noti."
931,19.5,19.5,80.5,"Homberg BE","I risultati di questo comune non sono ancora noti."
932,13.6,13.6,86.4,"Horrenbach-Buchen BE","I risultati di questo comune non sono ancora noti."
934,25.3,25.3,74.7,"Oberhofen am Thunersee BE","I risultati di questo comune non sono ancora noti."
935,14.3,14.3,85.7,"Oberlangenegg BE","I risultati di questo comune non sono ancora noti."
936,11.1,11.1,88.9,"Pohlern BE","I risultati di questo comune non sono ancora noti."
938,21.1,21.1,78.9,"Sigriswil BE","I risultati di questo comune non sono ancora noti."
939,26.5,26.5,73.5,"Steffisburg BE","I risultati di questo comune non sono ancora noti."
940,14.5,14.5,85.5,"Teuffenthal BE","I risultati di questo comune non sono ancora noti."
941,21.4,21.4,78.6,"Thierachern BE","I risultati di questo comune non sono ancora noti."
942,32.5,32.5,67.5,"Thun BE","I risultati di questo comune non sono ancora noti."
943,21.5,21.5,78.5,"Uebeschi BE","I risultati di questo comune non sono ancora noti."
944,20.1,20.1,79.9,"Uetendorf BE","I risultati di questo comune non sono ancora noti."
945,22.5,22.5,77.5,"Unterlangenegg BE","I risultati di questo comune non sono ancora noti."
946,9.1,9.1,90.9,"Wachseldorn BE","I risultati di questo comune non sono ancora noti."
947,19.7,19.7,80.3,"Zwieselberg BE","I risultati di questo comune non sono ancora noti."
948,17.6,17.6,82.4,"Forst-Längenbühl BE","I risultati di questo comune non sono ancora noti."
951,16.3,16.3,83.7,"Affoltern im Emmental BE","I risultati di questo comune non sono ancora noti."
952,19.8,19.8,80.2,"Dürrenroth BE","I risultati di questo comune non sono ancora noti."
953,15.9,15.9,84.1,"Eriswil BE","I risultati di questo comune non sono ancora noti."
954,20,20,80,"Huttwil BE","I risultati di questo comune non sono ancora noti."
955,20.5,20.5,79.5,"Lützelflüh BE","I risultati di questo comune non sono ancora noti."
956,18.9,18.9,81.1,"Rüegsau BE","I risultati di questo comune non sono ancora noti."
957,20.4,20.4,79.6,"Sumiswald BE","I risultati di questo comune non sono ancora noti."
958,18,18,82,"Trachselwald BE","I risultati di questo comune non sono ancora noti."
959,16.2,16.2,83.8,"Walterswil BE","I risultati di questo comune non sono ancora noti."
960,15.1,15.1,84.9,"Wyssachen BE","I risultati di questo comune non sono ancora noti."
971,19.5,19.5,80.5,"Attiswil BE","I risultati di questo comune non sono ancora noti."
972,3.8,3.8,96.2,"Berken BE","I risultati di questo comune non sono ancora noti."
973,23.4,23.4,76.6,"Bettenhausen BE","I risultati di questo comune non sono ancora noti."
975,22.2,22.2,77.8,"Farnern BE","I risultati di questo comune non sono ancora noti."
976,22.5,22.5,77.5,"Graben BE","I risultati di questo comune non sono ancora noti."
977,15.2,15.2,84.8,"Heimenhausen BE","I risultati di questo comune non sono ancora noti."
979,26.4,26.4,73.6,"Herzogenbuchsee BE","I risultati di questo comune non sono ancora noti."
980,15.4,15.4,84.6,"Inkwil BE","I risultati di questo comune non sono ancora noti."
981,16.5,16.5,83.5,"Niederbipp BE","I risultati di questo comune non sono ancora noti."
982,23.4,23.4,76.6,"Niederönz BE","I risultati di questo comune non sono ancora noti."
983,19.7,19.7,80.3,"Oberbipp BE","I risultati di questo comune non sono ancora noti."
985,20.8,20.8,79.2,"Ochlenberg BE","I risultati di questo comune non sono ancora noti."
987,23.4,23.4,76.6,"Rumisberg BE","I risultati di questo comune non sono ancora noti."
988,21.1,21.1,78.9,"Seeberg BE","I risultati di questo comune non sono ancora noti."
