"Gemeinde_Nr","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de"
1055,82.2,82.2,17.8,"Gisikon LU","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1056,80.8,80.8,19.2,"Greppen LU","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1057,85.7,85.7,14.3,"Honau LU","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1058,81.7,81.7,18.3,"Horw LU","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1059,79.5,79.5,20.5,"Kriens LU","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1061,75.7,75.7,24.3,"Luzern LU","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1062,76.4,76.4,23.6,"Malters LU","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1063,84.2,84.2,15.8,"Meggen LU","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1064,73.8,73.8,26.2,"Meierskappel LU","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1065,78.9,78.9,21.1,"Root LU","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1066,79.5,79.5,20.5,"Schwarzenberg LU","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1067,82.5,82.5,17.5,"Udligenswil LU","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1068,76.2,76.2,23.8,"Vitznau LU","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1069,81.3,81.3,18.7,"Weggis LU","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1081,83,83,17,"Beromünster LU","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1082,79.1,79.1,20.9,"Büron LU","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1083,79.6,79.6,20.4,"Buttisholz LU","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1084,85.3,85.3,14.7,"Eich LU","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1085,83.2,83.2,16.8,"Geuensee LU","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1086,79.6,79.6,20.4,"Grosswangen LU","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1088,79.5,79.5,20.5,"Hildisrieden LU","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1089,78.5,78.5,21.5,"Knutwil LU","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1091,74.7,74.7,25.3,"Mauensee LU","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1093,79.4,79.4,20.6,"Neuenkirch LU","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1094,79.2,79.2,20.8,"Nottwil LU","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1095,82.1,82.1,17.9,"Oberkirch LU","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1097,77.7,77.7,22.3,"Rickenbach LU","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1098,79,79,21,"Ruswil LU","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1099,82.2,82.2,17.8,"Schenkon LU","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1100,82.2,82.2,17.8,"Schlierbach LU","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1102,84.9,84.9,15.1,"Sempach LU","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1103,80.5,80.5,19.5,"Sursee LU","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1104,79.3,79.3,20.7,"Triengen LU","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1107,79.6,79.6,20.4,"Wolhusen LU","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1121,73.5,73.5,26.5,"Alberswil LU","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1122,70.8,70.8,29.2,"Altbüron LU","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1123,81.3,81.3,18.7,"Altishofen LU","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1125,74,74,26,"Dagmersellen LU","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1127,80.2,80.2,19.8,"Egolzwil LU","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1128,83.3,83.3,16.7,"Ettiswil LU","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1129,73.5,73.5,26.5,"Fischbach LU","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1131,78,78,22,"Grossdietwil LU","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1132,62,62,38,"Hergiswil bei Willisau LU","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1135,60.9,60.9,39.1,"Luthern LU","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1136,75.7,75.7,24.3,"Menznau LU","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1137,79.6,79.6,20.4,"Nebikon LU","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1139,72.9,72.9,27.1,"Pfaffnau LU","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1140,76.8,76.8,23.2,"Reiden LU","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1142,71.9,71.9,28.1,"Roggliswil LU","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1143,77.3,77.3,22.7,"Schötz LU","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1145,71.6,71.6,28.4,"Ufhusen LU","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1146,78.1,78.1,21.9,"Wauwil LU","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1147,77.6,77.6,22.4,"Wikon LU","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1150,73.9,73.9,26.1,"Zell LU","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1151,77.7,77.7,22.3,"Willisau LU","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1201,78.8,78.8,21.2,"Altdorf UR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1202,78.6,78.6,21.4,"Andermatt UR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1203,70.3,70.3,29.7,"Attinghausen UR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1205,69,69,31,"Bürglen UR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1206,70.3,70.3,29.7,"Erstfeld UR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1207,72.2,72.2,27.8,"Flüelen UR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1208,62.7,62.7,37.3,"Göschenen UR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1209,65.5,65.5,34.5,"Gurtnellen UR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1210,70.5,70.5,29.5,"Hospental UR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1211,70.7,70.7,29.3,"Isenthal UR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1212,78.3,78.3,21.7,"Realp UR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1213,74,74,26,"Schattdorf UR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1214,74.7,74.7,25.3,"Seedorf UR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1215,68.9,68.9,31.1,"Seelisberg UR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1216,66.4,66.4,33.6,"Silenen UR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1217,69.6,69.6,30.4,"Sisikon UR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1218,52.9,52.9,47.1,"Spiringen UR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1219,60.7,60.7,39.3,"Unterschächen UR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1220,68.9,68.9,31.1,"Wassen UR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1301,75.3,75.3,24.7,"Einsiedeln SZ","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1311,73.6,73.6,26.4,"Gersau SZ","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1321,77.4,77.4,22.6,"Feusisberg SZ","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1322,80.2,80.2,19.8,"Freienbach SZ","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1323,79.9,79.9,20.1,"Wollerau SZ","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1331,79,79,21,"Küssnacht SZ","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1341,78.9,78.9,21.1,"Altendorf SZ","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1342,72.1,72.1,27.9,"Galgenen SZ","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1343,64.9,64.9,35.1,"Innerthal SZ","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1344,81,81,19,"Lachen SZ","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1345,72.8,72.8,27.2,"Reichenburg SZ","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1346,71.6,71.6,28.4,"Schübelbach SZ","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1347,72.6,72.6,27.4,"Tuggen SZ","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1348,60.8,60.8,39.2,"Vorderthal SZ","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1349,74.5,74.5,25.5,"Wangen SZ","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1361,66.4,66.4,33.6,"Alpthal SZ","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1362,73.9,73.9,26.1,"Arth SZ","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1363,73.2,73.2,26.8,"Illgau SZ","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1364,80.6,80.6,19.4,"Ingenbohl SZ","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1365,68.1,68.1,31.9,"Lauerz SZ","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1366,66.7,66.7,33.3,"Morschach SZ","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1367,72.9,72.9,27.1,"Muotathal SZ","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1368,68.7,68.7,31.3,"Oberiberg SZ","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1369,64,64,36,"Riemenstalden SZ","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1370,64.9,64.9,35.1,"Rothenthurm SZ","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1371,76.7,76.7,23.3,"Sattel SZ","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1372,72.8,72.8,27.2,"Schwyz SZ","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1373,69.9,69.9,30.1,"Steinen SZ","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1374,63.6,63.6,36.4,"Steinerberg SZ","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1375,56.1,56.1,43.9,"Unteriberg SZ","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1401,75.4,75.4,24.6,"Alpnach OW","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1402,81.6,81.6,18.4,"Engelberg OW","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1403,75,75,25,"Giswil OW","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1404,72.3,72.3,27.7,"Kerns OW","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1405,80.3,80.3,19.7,"Lungern OW","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1406,80.6,80.6,19.4,"Sachseln OW","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1407,77.7,77.7,22.3,"Sarnen OW","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1501,76.9,76.9,23.1,"Beckenried NW","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1502,78.1,78.1,21.9,"Buochs NW","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1503,76.4,76.4,23.6,"Dallenwil NW","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1504,73.5,73.5,26.5,"Emmetten NW","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1505,81.4,81.4,18.6,"Ennetbürgen NW","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1506,78.3,78.3,21.7,"Ennetmoos NW","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1507,81.5,81.5,18.5,"Hergiswil NW","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1508,77.6,77.6,22.4,"Oberdorf NW","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1509,81.6,81.6,18.4,"Stans NW","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1510,79.7,79.7,20.3,"Stansstad NW","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1511,80.3,80.3,19.7,"Wolfenschiessen NW","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1701,83,83,17,"Baar ZG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1702,83,83,17,"Cham ZG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1703,84.9,84.9,15.1,"Hünenberg ZG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1704,79.4,79.4,20.6,"Menzingen ZG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1705,76.9,76.9,23.1,"Neuheim ZG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1706,79.3,79.3,20.7,"Oberägeri ZG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1707,80.9,80.9,19.1,"Risch ZG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1708,84.4,84.4,15.6,"Steinhausen ZG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1709,81,81,19,"Unterägeri ZG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1710,80.5,80.5,19.5,"Walchwil ZG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1711,82.6,82.6,17.4,"Zug ZG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
