"Gemeinde_Nr","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de"
2951,78.6,78.6,21.4,"Beggingen SH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2952,74.2,74.2,25.8,"Schleitheim SH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2953,80.8,80.8,19.2,"Siblingen SH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2961,81.6,81.6,18.4,"Buch SH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2962,70.6,70.6,29.4,"Hemishofen SH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2963,73.5,73.5,26.5,"Ramsen SH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2964,75.7,75.7,24.3,"Stein am Rhein SH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2971,76.4,76.4,23.6,"Hallau SH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2972,73.6,73.6,26.4,"Oberhallau SH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2973,75.3,75.3,24.7,"Trasadingen SH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2974,76.1,76.1,23.9,"Wilchingen SH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3001,77,77,23,"Herisau AR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3002,61.4,61.4,38.6,"Hundwil AR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3003,64.2,64.2,35.8,"Schönengrund AR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3004,68.3,68.3,31.7,"Schwellbrunn AR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3005,74.6,74.6,25.4,"Stein AR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3006,68.6,68.6,31.4,"Urnäsch AR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3007,76.5,76.5,23.5,"Waldstatt AR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3021,77,77,23,"Bühler AR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3022,81,81,19,"Gais AR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3023,78.5,78.5,21.5,"Speicher AR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3024,79.8,79.8,20.2,"Teufen AR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3025,71,71,29,"Trogen AR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3031,78.8,78.8,21.2,"Grub AR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3032,74.8,74.8,25.2,"Heiden AR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3033,73.7,73.7,26.3,"Lutzenberg AR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3034,75.7,75.7,24.3,"Rehetobel AR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3035,66.4,66.4,33.6,"Reute AR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3036,72.7,72.7,27.3,"Wald AR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3037,68.5,68.5,31.5,"Walzenhausen AR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3038,69.2,69.2,30.8,"Wolfhalden AR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3101,78,78,22,"Appenzell AI","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3102,77.2,77.2,22.8,"Gonten AI","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3104,75.2,75.2,24.8,"Schlatt-Haslen AI","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3111,71.5,71.5,28.5,"Oberegg AI","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3112,80.2,80.2,19.8,"Schwende-Rüti AI","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3201,80.1,80.1,19.9,"Häggenschwil SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3202,75.5,75.5,24.5,"Muolen SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3203,76.9,76.9,23.1,"St. Gallen SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3204,80.1,80.1,19.9,"Wittenbach SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3211,77.4,77.4,22.6,"Berg SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3212,77.8,77.8,22.2,"Eggersriet SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3213,79.7,79.7,20.3,"Goldach SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3214,82.2,82.2,17.8,"Mörschwil SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3215,72.8,72.8,27.2,"Rorschach SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3216,77.2,77.2,22.8,"Rorschacherberg SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3217,80.1,80.1,19.9,"Steinach SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3218,83.8,83.8,16.2,"Tübach SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3219,79.5,79.5,20.5,"Untereggen SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3231,77.2,77.2,22.8,"Au SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3232,78,78,22,"Balgach SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3233,79.8,79.8,20.2,"Berneck SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3234,75.4,75.4,24.6,"Diepoldsau SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3235,73,73,27,"Rheineck SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3236,73,73,27,"St. Margrethen SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3237,73,73,27,"Thal SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3238,77.1,77.1,22.9,"Widnau SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3251,74.1,74.1,25.9,"Altstätten SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3252,78.1,78.1,21.9,"Eichberg SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3253,81.2,81.2,18.8,"Marbach SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3254,73.4,73.4,26.6,"Oberriet SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3255,75.1,75.1,24.9,"Rebstein SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3256,75.6,75.6,24.4,"Rüthi SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3271,78.5,78.5,21.5,"Buchs SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3272,78.8,78.8,21.2,"Gams SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3273,78,78,22,"Grabs SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3274,76.9,76.9,23.1,"Sennwald SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3275,74.7,74.7,25.3,"Sevelen SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3276,75.9,75.9,24.1,"Wartau SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3291,78.5,78.5,21.5,"Bad Ragaz SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3292,71.9,71.9,28.1,"Flums SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3293,76.3,76.3,23.7,"Mels SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3294,72.1,72.1,27.9,"Pfäfers SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3295,67.2,67.2,32.8,"Quarten SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3296,76.3,76.3,23.7,"Sargans SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3297,74.7,74.7,25.3,"Vilters-Wangs SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3298,76.1,76.1,23.9,"Walenstadt SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3311,69.3,69.3,30.7,"Amden SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3312,66.6,66.6,33.4,"Benken SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3313,72.3,72.3,27.7,"Kaltbrunn SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3315,68.9,68.9,31.1,"Schänis SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3316,75.2,75.2,24.8,"Weesen SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3338,78.2,78.2,21.8,"Schmerikon SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3339,76,76,24,"Uznach SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3340,80.2,80.2,19.8,"Rapperswil-Jona SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3341,71.6,71.6,28.4,"Gommiswald SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3342,72.1,72.1,27.9,"Eschenbach SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3352,71.4,71.4,28.6,"Ebnat-Kappel SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3359,77.8,77.8,22.2,"Wildhaus-Alt St. Johann SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3360,74.9,74.9,25.1,"Nesslau SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3374,72,72,28,"Lichtensteig SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3379,70,70,30,"Wattwil SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3392,72.6,72.6,27.4,"Kirchberg SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3393,75.1,75.1,24.9,"Lütisburg SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3394,68.3,68.3,31.7,"Mosnang SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3395,69.7,69.7,30.3,"Bütschwil-Ganterschwil SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3396,70.3,70.3,29.7,"Neckertal SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3401,74.3,74.3,25.7,"Degersheim SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3402,75.2,75.2,24.8,"Flawil SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3405,77.5,77.5,22.5,"Jonschwil SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3407,77.5,77.5,22.5,"Oberuzwil SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3408,77.2,77.2,22.8,"Uzwil SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3422,74.7,74.7,25.3,"Niederbüren SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3423,73.5,73.5,26.5,"Niederhelfenschwil SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3424,74.3,74.3,25.7,"Oberbüren SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3426,79.4,79.4,20.6,"Zuzwil SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3427,79.1,79.1,20.9,"Wil SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3441,81.4,81.4,18.6,"Andwil SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3442,82.6,82.6,17.4,"Gaiserwald SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3443,82.8,82.8,17.2,"Gossau SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3444,79.8,79.8,20.2,"Waldkirch SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
4401,78.4,78.4,21.6,"Arbon TG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
4406,69.4,69.4,30.6,"Dozwil TG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
4411,76.6,76.6,23.4,"Egnach TG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
4416,70.4,70.4,29.6,"Hefenhofen TG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
4421,80.8,80.8,19.2,"Horn TG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
4426,76.1,76.1,23.9,"Kesswil TG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
4431,81.6,81.6,18.4,"Roggwil TG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
4436,77.2,77.2,22.8,"Romanshorn TG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
4441,68,68,32,"Salmsach TG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
4446,70.9,70.9,29.1,"Sommeri TG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
4451,74.9,74.9,25.1,"Uttwil TG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
4461,75.3,75.3,24.7,"Amriswil TG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
4471,76.2,76.2,23.8,"Bischofszell TG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
4476,68.9,68.9,31.1,"Erlen TG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
4486,72.3,72.3,27.7,"Hauptwil-Gottshaus TG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
4495,70.3,70.3,29.7,"Hohentannen TG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
4501,74.7,74.7,25.3,"Kradolf-Schönenberg TG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
4506,74,74,26,"Sulgen TG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
4511,75.4,75.4,24.6,"Zihlschlacht-Sitterdorf TG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
4536,72.1,72.1,27.9,"Basadingen-Schlattingen TG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
4545,75.2,75.2,24.8,"Diessenhofen TG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
4546,69,69,31,"Schlatt TG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
4551,75.6,75.6,24.4,"Aadorf TG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
4561,78.9,78.9,21.1,"Felben-Wellhausen TG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
4566,79.7,79.7,20.3,"Frauenfeld TG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
4571,77.7,77.7,22.3,"Gachnang TG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
4590,71.5,71.5,28.5,"Hüttlingen TG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
4591,71.3,71.3,28.7,"Matzingen TG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
4601,72,72,28,"Neunforn TG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
4606,84.4,84.4,15.6,"Stettfurt TG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
4611,77.6,77.6,22.4,"Thundorf TG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
4616,82.2,82.2,17.8,"Uesslingen-Buch TG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
4621,79.9,79.9,20.1,"Warth-Weiningen TG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
4641,73.7,73.7,26.3,"Altnau TG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
4643,82.3,82.3,17.7,"Bottighofen TG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
4646,74.4,74.4,25.6,"Ermatingen TG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
4651,80.8,80.8,19.2,"Gottlieben TG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
4656,75.1,75.1,24.9,"Güttingen TG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
4666,71.5,71.5,28.5,"Kemmental TG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
4671,78.3,78.3,21.7,"Kreuzlingen TG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
4681,78.1,78.1,21.9,"Langrickenbach TG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
4683,74.1,74.1,25.9,"Lengwil TG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
4691,77.6,77.6,22.4,"Münsterlingen TG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
4696,79.5,79.5,20.5,"Tägerwilen TG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
4701,74.6,74.6,25.4,"Wäldi TG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
4711,68.3,68.3,31.7,"Affeltrangen TG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
4716,71.2,71.2,28.8,"Bettwiesen TG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
4721,71.7,71.7,28.3,"Bichelsee-Balterswil TG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
4723,75.6,75.6,24.4,"Braunau TG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
4724,75.9,75.9,24.1,"Eschlikon TG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
4726,69.2,69.2,30.8,"Fischingen TG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
4741,75.4,75.4,24.6,"Lommis TG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
4746,72.2,72.2,27.8,"Münchwilen TG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
4751,75,75,25,"Rickenbach TG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
4756,78.1,78.1,21.9,"Schönholzerswilen TG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
4761,74.6,74.6,25.4,"Sirnach TG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
4776,72,72,28,"Tobel-Tägerschen TG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
4781,76.7,76.7,23.3,"Wängi TG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
4786,81.2,81.2,18.8,"Wilen TG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
4791,68.8,68.8,31.2,"Wuppenau TG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
4801,74.9,74.9,25.1,"Berlingen TG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
4806,75.2,75.2,24.8,"Eschenz TG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
4811,83.9,83.9,16.1,"Herdern TG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
4816,73.9,73.9,26.1,"Homburg TG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
4821,74.4,74.4,25.6,"Hüttwilen TG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
4826,77.8,77.8,22.2,"Mammern TG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
4831,75.8,75.8,24.2,"Müllheim TG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
4841,73.2,73.2,26.8,"Pfyn TG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
4846,56.7,56.7,43.3,"Raperswilen TG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
4851,76.1,76.1,23.9,"Salenstein TG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
4864,77.1,77.1,22.9,"Steckborn TG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
4871,73.1,73.1,26.9,"Wagenhausen TG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
4881,67.3,67.3,32.7,"Amlikon-Bissegg TG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
4891,81.7,81.7,18.3,"Berg TG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
4901,72.4,72.4,27.6,"Birwinken TG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
4911,72.8,72.8,27.2,"Bürglen TG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
4921,68.7,68.7,31.3,"Bussnang TG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
4941,77.1,77.1,22.9,"Märstetten TG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
4946,79.6,79.6,20.4,"Weinfelden TG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
4951,72.6,72.6,27.4,"Wigoltingen TG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
