"Gemeinde_Nr","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de"
2825,81.9,81.9,18.1,"Füllinsdorf BL","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2826,78.3,78.3,21.7,"Giebenach BL","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2827,78,78,22,"Hersberg BL","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2828,79.5,79.5,20.5,"Lausen BL","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2829,81.2,81.2,18.8,"Liestal BL","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2830,83.5,83.5,16.5,"Lupsingen BL","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2831,84.8,84.8,15.2,"Pratteln BL","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2832,80.1,80.1,19.9,"Ramlinsburg BL","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2833,79.8,79.8,20.2,"Seltisberg BL","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2834,74.7,74.7,25.3,"Ziefen BL","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2841,73.1,73.1,26.9,"Anwil BL","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2842,80.6,80.6,19.4,"Böckten BL","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2843,75.8,75.8,24.2,"Buckten BL","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2844,78,78,22,"Buus BL","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2845,75.6,75.6,24.4,"Diepflingen BL","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2846,78.7,78.7,21.3,"Gelterkinden BL","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2847,66,66,34,"Häfelfingen BL","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2848,70.5,70.5,29.5,"Hemmiken BL","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2849,78.8,78.8,21.2,"Itingen BL","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2850,80,80,20,"Känerkinden BL","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2851,66.1,66.1,33.9,"Kilchberg BL","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2852,76.5,76.5,23.5,"Läufelfingen BL","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2853,78.2,78.2,21.8,"Maisprach BL","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2854,73.6,73.6,26.4,"Nusshof BL","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2855,75.4,75.4,24.6,"Oltingen BL","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2856,77.2,77.2,22.8,"Ormalingen BL","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2857,86,86,14,"Rickenbach BL","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2858,78.6,78.6,21.4,"Rothenfluh BL","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2859,60.9,60.9,39.1,"Rümlingen BL","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2860,76.9,76.9,23.1,"Rünenberg BL","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2861,80.6,80.6,19.4,"Sissach BL","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2862,81.2,81.2,18.8,"Tecknau BL","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2863,77.3,77.3,22.7,"Tenniken BL","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2864,76.4,76.4,23.6,"Thürnen BL","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2865,70.7,70.7,29.3,"Wenslingen BL","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2866,67.8,67.8,32.2,"Wintersingen BL","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2867,74.1,74.1,25.9,"Wittinsburg BL","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2868,82.4,82.4,17.6,"Zeglingen BL","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2869,74.7,74.7,25.3,"Zunzgen BL","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2881,76.3,76.3,23.7,"Arboldswil BL","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2882,71.5,71.5,28.5,"Bennwil BL","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2883,71.5,71.5,28.5,"Bretzwil BL","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2884,75.1,75.1,24.9,"Diegten BL","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2885,67.4,67.4,32.6,"Eptingen BL","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2886,78,78,22,"Hölstein BL","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2887,75.6,75.6,24.4,"Lampenberg BL","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2888,73.2,73.2,26.8,"Langenbruck BL","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2889,79.8,79.8,20.2,"Lauwil BL","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2890,60.4,60.4,39.6,"Liedertswil BL","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2891,78.3,78.3,21.7,"Niederdorf BL","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2892,76.1,76.1,23.9,"Oberdorf BL","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2893,74.9,74.9,25.1,"Reigoldswil BL","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2894,75.8,75.8,24.2,"Titterten BL","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2895,73.7,73.7,26.3,"Waldenburg BL","Die Resultate dieser Gemeinde sind noch nicht bekannt."
